time_s,ue_id,tx_bytes,rx_bytes
0.818591,10,800000,0
0.823514,6,800000,0
0.830309,16,800000,0
0.832873,23,800000,0
0.841113,20,800000,0
0.843996,7,2400000,0
0.844746,18,800000,0
0.86922,14,800000,0
0.870723,8,800000,0
0.871705,5,800000,0
0.881583,17,800000,0
0.890899,11,800000,0
0.895288,13,800000,0
0.901174,9,800000,0
0.904276,22,800000,0
0.908315,19,800000,0
0.911023,15,800000,0
0.914482,21,1600000,0
0.923062,24,800000,0
0.934543,12,1600000,0
1.05384,21,1600000,0
1.34722,7,3200000,0
1.43753,12,1600000,0
1.47765,7,3200000,0
1.65931,13,1600000,0
1.72602,24,1600000,0
1.72814,7,3200000,0
1.8597,22,1600000,0
2.07369,5,2400000,0
2.16892,9,1600000,0
2.348,10,1600000,0
2.50088,6,1600000,0
2.57064,13,2400000,0
2.61748,7,4000000,0
2.64449,5,2400000,0
2.64917,23,1600000,0
2.73541,19,1600000,0
2.74238,18,2400000,0
2.91925,18,2400000,0
3.01418,21,2400000,0
3.02343,14,1600000,0
3.46268,19,3200000,0
3.57071,7,4800000,0
3.63974,8,1600000,0
3.72684,20,1600000,0
3.7681,23,2400000,0
3.85041,18,4000000,0
3.9308,21,3200000,0
3.93214,13,3200000,0
3.96285,11,1600000,0
3.99971,19,3200000,0
4.09964,10,3200000,0
4.18543,16,1600000,0
4.4821,6,2400000,0
4.49689,18,4000000,0
4.70482,10,3200000,0
4.76335,19,5600000,0
4.77019,8,4000000,0
4.82024,8,4000000,0
4.84242,17,1600000,0
4.85325,22,2400000,0
4.87852,24,2400000,0
4.93844,21,5600000,0
4.99328,8,4000000,0
5.03877,5,3200000,0
5.10436,12,2400000,0
5.13368,19,5600000,0
5.21078,9,2400000,0
5.23992,14,2400000,0
5.28524,19,5600000,0
5.38371,21,5600000,0
5.41412,23,3200000,0
5.44255,21,5600000,0
5.97868,20,2400000,0
6.0044,8,6400000,0
6.20752,21,7200000,0
6.24405,14,3200000,0
6.25361,8,6400000,0
6.32638,18,5600000,0
6.36423,21,7200000,0
6.43304,5,4000000,0
6.46957,18,5600000,0
6.55817,8,6400000,0
6.58965,9,3200000,0
6.6036,17,2400000,0
6.66443,22,3200000,0
6.73715,16,2400000,0
6.90552,19,6400000,0
7.03574,6,3200000,0
7.41878,17,3200000,0
7.45868,16,4000000,0
7.69252,9,4000000,0
7.7664,11,3200000,0
7.8082,24,3200000,0
8.08814,16,4800000,0
8.15063,6,4000000,0
8.30211,11,4000000,0
8.32055,7,5600000,0
8.32754,15,2400000,0
8.33917,9,4800000,0
8.36048,21,8000000,0
8.48078,18,6400000,0
8.51933,8,7200000,0
8.52324,11,4000000,0
8.53648,16,5600000,0
8.8323,15,2400000,0
8.85285,16,5600000,0
9.07086,13,4000000,0
9.23877,24,4000000,0
9.30647,22,4800000,0
9.51523,22,5600000,0
9.52205,18,8000000,0
9.56987,8,8000000,0
9.64131,21,8800000,0
9.65608,15,4000000,0
9.71732,14,4000000,0
9.73842,15,4000000,0
9.92527,11,4800000,0
9.98327,17,4000000,0
10.0041,5,5600000,0
10.0107,22,5600000,0
10.0769,9,5600000,0
10.0862,18,8000000,0
10.2907,5,5600000,0
10.3139,21,10400000,0
10.5523,7,6400000,0
10.5564,21,10400000,0
10.6693,15,5600000,0
10.8761,20,4000000,0
10.8774,24,4800000,0
10.8787,9,7200000,0
10.9037,16,6400000,0
11.0723,15,5600000,0
11.1605,20,4000000,0
11.2222,17,4800000,0
11.2272,14,4800000,0
11.2803,22,6400000,0
11.3543,9,7200000,0
11.6173,5,6400000,0
11.6439,19,8000000,0
11.7396,19,8000000,0
12.1158,20,4800000,0
12.1989,18,8800000,0
12.4209,17,6400000,0
12.4435,7,7200000,0
12.4695,21,11200000,0
12.5786,14,5600000,0
12.9882,9,8000000,0
13.0066,11,6400000,0
13.0786,17,6400000,0
13.0816,18,9600000,0
13.1474,23,4000000,0
13.1827,11,6400000,0
13.3657,5,7200000,0
13.4733,7,10400000,0
13.507,10,4000000,0
13.5282,7,10400000,0
13.5831,7,11200000,0
13.685,19,9600000,0
13.76,6,4800000,0
13.8359,19,9600000,0
13.8407,7,11200000,0
13.9762,14,6400000,0
14.0747,23,4800000,0
14.2398,13,4800000,0
14.2488,7,11200000,0
14.3131,18,11200000,0
14.3191,16,7200000,0
14.4135,18,11200000,0
14.5752,21,12000000,0
14.732,14,8000000,0
14.9612,20,5600000,0
14.9669,5,8000000,0
15.0215,11,7200000,0
15.0234,23,5600000,0
15.1125,14,8000000,0
15.1151,18,12000000,0
15.2063,13,5600000,0
15.3737,15,6400000,0
15.419,10,5600000,0
15.6916,22,7200000,0
15.8301,7,12000000,0
15.8491,10,5600000,0
16.1006,20,6400000,0
16.227,17,7200000,0
16.2309,15,8000000,0
16.248,13,6400000,0
16.5013,8,8800000,0
16.7511,15,8000000,0
16.779,19,10400000,0
17.1908,13,7200000,0
17.2021,14,8800000,0
17.2296,7,13600000,0
17.3183,7,13600000,0
17.6114,11,8000000,0
17.6561,24,5600000,0
17.7183,16,8000000,0
17.8366,6,5600000,0
17.8457,5,8800000,0
18.1203,21,12800000,0
18.1471,17,8000000,0
18.1712,10,6400000,0
18.3027,19,11200000,0
18.3666,8,9600000,0
18.5412,23,6400000,0
18.727,9,8800000,0
18.8379,15,9600000,0
19.0185,15,9600000,0
19.0445,8,11200000,0
19.0759,12,4000000,0
19.0999,8,11200000,0
19.1355,24,6400000,0
19.2626,16,8800000,0
19.2892,12,4000000,0
19.4651,9,9600000,0
19.5478,14,10400000,0
19.5747,7,14400000,0
19.7512,14,10400000,0
19.8704,10,8000000,0
20.0219,21,13600000,0
20.0967,10,8000000,0
20.2815,23,8000000,0
20.4579,11,8800000,0
20.6109,14,11200000,0
20.7536,10,8800000,0
20.859,23,8000000,0
20.9804,15,10400000,0
21.0962,6,6400000,0
21.1073,17,8800000,0
21.2076,24,8800000,0
21.3339,24,8800000,0
21.3647,16,9600000,0
21.4391,24,8800000,0
21.4856,5,9600000,0
