time_s,task_id,ue_id,latency_ms,offloaded
0.818591,1,10,613.591,0
0.823514,1,6,618.514,0
0.830309,1,16,625.309,0
0.832873,1,23,627.873,0
0.841113,1,20,636.113,0
0.843996,1,7,638.996,0
0.844746,1,18,639.746,0
0.86922,1,14,664.22,0
0.870723,1,8,665.723,0
0.871705,1,5,666.705,0
0.881583,1,17,676.583,0
0.890899,1,11,685.899,0
0.895288,1,13,690.288,0
0.901174,1,9,696.174,0
0.904276,1,22,699.276,0
0.908315,1,19,703.315,0
0.911023,1,15,706.023,0
0.914482,1,21,709.482,0
0.923062,1,24,718.062,0
0.934543,1,12,729.543,0
1.05384,2,21,700.189,0
1.34722,2,7,669.686,0
1.43753,2,12,605.911,0
1.47765,3,7,644.821,0
1.65931,2,13,732.006,0
1.72602,2,24,678.053,0
1.72814,4,7,710.317,0
1.8597,2,22,605.273,0
2.07369,2,5,607.974,0
2.16892,2,9,649.115,0
2.348,2,10,606.598,0
2.50088,2,6,724.286,0
2.57064,3,13,637.464,0
2.61748,5,7,639.884,0
2.64449,3,5,620.812,0
2.64917,2,23,724.664,0
2.73541,2,19,671.742,0
2.74238,2,18,634.63,0
2.91925,3,18,661.504,0
3.01418,3,21,620.414,0
3.02343,2,14,622.902,0
3.46268,3,19,630.717,0
3.57071,6,7,700.548,0
3.63974,2,8,607.067,0
3.72684,2,20,684.428,0
3.7681,3,23,636.998,0
3.85041,4,18,721.631,0
3.9308,4,21,725.775,0
3.93214,4,13,695.733,0
3.96285,2,11,724.44,0
3.99971,4,19,709.681,0
4.09964,3,10,675.308,0
4.18543,2,16,668.548,0
4.4821,3,6,623.504,0
4.49689,5,18,692.507,0
4.70482,4,10,706.96,0
4.76335,5,19,680.97,0
4.77019,3,8,713.047,0
4.82024,4,8,668.076,0
4.84242,2,17,642.153,0
4.85325,3,22,721.209,0
4.87852,3,24,631.037,0
4.93844,5,21,688.64,0
4.99328,5,8,689.534,0
5.03877,4,5,630.995,0
5.10436,3,12,690.781,0
5.13368,6,19,725.581,0
5.21078,3,9,632.608,0
5.23992,3,14,651.492,0
5.28524,7,19,611.022,0
5.38371,6,21,642.831,0
5.41412,4,23,693.953,0
5.44255,7,21,633.791,0
5.97868,3,20,668.575,0
6.0044,6,8,658.453,0
6.20752,8,21,624.289,0
6.24405,4,14,698.724,0
6.25361,7,8,668.043,0
6.32638,6,18,641.228,0
6.36423,9,21,618.846,0
6.43304,5,5,635.832,0
6.46957,7,18,674.295,0
6.55817,8,8,626.305,0
6.58965,4,9,678.968,0
6.6036,3,17,638.932,0
6.66443,4,22,684.871,0
6.73715,3,16,648.806,0
6.90552,8,19,626.958,0
7.03574,4,6,701.137,0
7.41878,4,17,689.132,0
7.45868,4,16,696.489,0
7.69252,5,9,707.985,0
7.7664,3,11,720.952,0
7.8082,4,24,654.032,0
8.08814,5,16,705.287,0
8.15063,5,6,619.131,0
8.30211,4,11,697.308,0
8.32055,7,7,667.18,0
8.32754,2,15,651.513,0
8.33917,6,9,600.246,0
8.36048,10,21,633.112,0
8.48078,8,18,629.139,0
8.51933,9,8,636.856,0
8.52324,5,11,657.462,0
8.53648,6,16,695.437,0
8.8323,3,15,686.665,0
8.85285,7,16,634.872,0
9.07086,5,13,693.192,0
9.23877,5,24,701.065,0
9.30647,5,22,685.628,0
9.51523,6,22,635.092,0
9.52205,9,18,610.637,0
9.56987,10,8,676.927,0
9.64131,11,21,685.582,0
9.65608,4,15,723.615,0
9.71732,5,14,623.648,0
9.73842,5,15,698.082,0
9.92527,6,11,727.597,0
9.98327,5,17,669.507,0
10.0041,6,5,732.436,0
10.0107,7,22,672.769,0
10.0769,7,9,601.811,0
10.0862,10,18,716.975,0
10.2907,7,5,713.781,0
10.3139,12,21,606.322,0
10.5523,8,7,694.802,0
10.5564,13,21,657.96,0
10.6693,6,15,699.203,0
10.8761,4,20,615.374,0
10.8774,6,24,702.15,0
10.8787,8,9,683.277,0
10.9037,8,16,706.915,0
11.0723,7,15,653.485,0
11.1605,5,20,699.481,0
11.2222,6,17,656.658,0
11.2272,6,14,723.728,0
11.2803,8,22,610.272,0
11.3543,9,9,697.971,0
11.6173,8,5,666.611,0
11.6439,9,19,611.192,0
11.7396,10,19,645.839,0
12.1158,6,20,670.625,0
12.1989,11,18,634.441,0
12.4209,7,17,657.913,0
12.4435,9,7,632.301,0
12.4695,14,21,673.427,0
12.5786,7,14,729.611,0
12.9882,10,9,653.233,0
13.0066,7,11,664.892,0
13.0786,8,17,703.3,0
13.0816,12,18,694.488,0
13.1474,5,23,625.101,0
13.1827,8,11,604.49,0
13.3657,9,5,705.441,0
13.4733,11,7,665.947,0
13.507,5,10,658.393,0
13.5282,10,7,726.254,0
13.5831,12,7,719.395,0
13.685,11,19,640.862,0
13.76,6,6,611.792,0
13.8359,12,19,674.674,0
13.8407,13,7,704.338,0
13.9762,8,14,664.027,0
14.0747,6,23,705.206,0
14.2398,6,13,683.203,0
14.2488,14,7,692.312,0
14.3131,13,18,604.473,0
14.3191,9,16,623.413,0
14.4135,14,18,691.571,0
14.5752,15,21,606.679,0
14.732,9,14,691.032,0
14.9612,7,20,602.43,0
14.9669,10,5,701.963,0
15.0215,9,11,662.866,0
15.0234,7,23,698.736,0
15.1125,10,14,687.119,0
15.1151,15,18,619.833,0
15.2063,7,13,675.27,0
15.3737,8,15,622.478,0
15.419,6,10,656.179,0
15.6916,9,22,610.264,0
15.8301,15,7,713.184,0
15.8491,7,10,707.416,0
16.1006,8,20,697.782,0
16.227,9,17,700.172,0
16.2309,9,15,622.609,0
16.248,8,13,707.925,0
16.5013,11,8,648.202,0
16.7511,10,15,606.389,0
16.779,13,19,605.494,0
17.1908,9,13,712,0
17.2021,11,14,681.091,0
17.2296,16,7,658.322,0
17.3183,17,7,684.545,0
17.6114,10,11,674.203,0
17.6561,7,24,632.385,0
17.7183,10,16,702.504,0
17.8366,7,6,705.287,0
17.8457,11,5,682.362,0
18.1203,16,21,630.456,0
18.1471,10,17,626.941,0
18.1712,8,10,622.871,0
18.3027,14,19,729.998,0
18.3666,12,8,706.769,0
18.5412,8,23,700.586,0
18.727,11,9,634.495,0
18.8379,11,15,647.708,0
19.0185,12,15,679.521,0
19.0445,14,8,647.487,0
19.0759,4,12,632.373,0
19.0999,13,8,731.099,0
19.1355,8,24,623.833,0
19.2626,11,16,673.232,0
19.2892,5,12,693.844,0
19.4651,12,9,721.366,0
19.5478,12,14,718.202,0
19.5747,18,7,643.467,0
19.7512,13,14,602.962,0
19.8704,9,10,661.293,0
20.0219,17,21,605.592,0
20.0967,10,10,718.515,0
20.2815,9,23,649.312,0
20.4579,11,11,716.08,0
20.6109,14,14,661.825,0
20.7536,11,10,651.405,0
20.859,10,23,636.088,0
20.9804,13,15,646.553,0
21.0962,8,6,704.912,0
21.1073,11,17,627.412,0
21.2076,9,24,681.246,0
21.3339,10,24,726.796,0
21.3647,12,16,616.684,0
21.4391,11,24,643.43,0
21.4856,12,5,676.36,0
21.4907,10,13,690.723,0
21.7048,10,22,663.699,0
21.7353,12,11,678.858,0
21.8239,16,18,680.25,0
21.8439,15,19,700.794,0
21.8964,13,11,611.27,0
22.3589,18,21,699.956,0
22.4722,14,15,643.111,0
22.6104,9,6,711.79,0
22.669,19,21,612.874,0
22.6869,12,10,611.692,0
22.7276,15,14,634.604,0
22.7736,12,17,603.8,0
22.8482,13,17,652.157,0
22.858,19,7,600.731,0
22.8965,6,12,712.548,0
22.9835,11,13,623.932,0
23.0858,13,10,729.648,0
23.1326,13,16,664.995,0
23.323,16,14,642.929,0
23.4422,11,22,655.083,0
23.593,12,13,718.797,0
23.6123,17,14,670.515,0
23.9516,13,5,700.465,0
24.0372,14,10,719.395,0
24.0533,10,6,616.703,0
24.1307,16,19,675.351,0
24.1508,15,15,727.807,0
24.3597,14,16,661.04,0
24.8635,16,15,634.798,0
24.8882,11,6,605.394,0
25.0692,20,7,643.819,0
25.1811,15,16,628.2,0
25.2863,17,18,721.986,0
25.3279,7,12,620.83,0
25.3529,14,5,708.095,0
25.4298,17,15,661.312,0
25.477,18,14,705.561,0
25.6312,18,18,635.945,0
25.6704,13,13,640.433,0
26.0089,21,7,708.902,0
26.1295,17,19,649.906,0
26.3751,18,15,722.263,0
26.4846,19,14,698.912,0
26.7354,16,16,714.187,0
27.207,12,24,634.392,0
27.3243,14,17,651.593,0
27.4456,20,14,607.665,0
27.5036,18,19,710.926,0
27.582,12,6,700.239,0
27.6574,15,17,640.518,0
27.8298,20,19,646.302,0
27.8433,19,19,726.927,0
27.9427,13,24,627.568,0
27.9718,9,20,603.411,0
28.0005,15,5,721.551,0
28.0029,17,17,653.543,0
28.0283,16,17,711.584,0
28.2097,13,6,684.614,0
28.2853,22,7,659.969,0
28.4077,14,6,667.24,0
28.613,15,6,688.143,0
28.6131,12,22,688.78,0
28.6584,14,24,630.781,0
28.9676,10,20,704.314,0
29.0024,19,15,645.326,0
29.0535,13,22,629.936,0
29.0746,15,24,694.662,0
29.1797,14,22,726.002,0
29.4935,17,16,618.886,0
29.5669,8,12,687.167,0
29.5701,18,17,690.178,0
29.672,11,20,696.801,0
29.7202,12,20,605.344,0
